Name,Source File,Source Path,Session,FORCE_PROCESS,Duration,Fullpath,ESTA_DECORNAME,INGEST_MANUEL,INGESTATOR,errors,error
C001C001_250414_R30N,C001C001_250414_R30N.mov,B:\250414_EQ2_AM\CAM C\C001R30N\,250414_EQ2_AM,FALSE,00:00:22:13,B:\250414_EQ2_AM\CAM C\C001R30N\C001C001_250414_R30N.mov,HOTEL-BARTOLI-RESTAURANT,FALSE,FALSE,[],
C001C002_250414_R30N,C001C002_250414_R30N.mov,B:\250414_EQ2_AM\CAM C\C001R30N\,250414_EQ2_AM,FALSE,00:01:45:07,B:\250414_EQ2_AM\CAM C\C001R30N\C001C002_250414_R30N.mov,HOTEL-BARTOLI-RESTAURANT,FALSE,FALSE,[],
