Name,Source File,Source Path,Session,FORCE_PROCESS,Duration,Fullpath,ESTA_DECORNAME,INGEST_MANUEL,INGESTATOR,errors,error
B047C001_250304_R5KF,B047C001_250304_R5KF.mov,B:\250327_EQ1_AM\CAM B\B047R5KF\,250327_EQ1_AM,FALSE,00:01:49:07,B:\250327_EQ1_AM\CAM B\B047R5KF\B047C001_250304_R5KF.mov,CUI,FALSE,FALSE,"[""Caractère invalide dans la colonne 'Name'."", ""Numéro d'épisode invalide dans 'Name'.""]",Caractère invalide dans la colonne 'Name'.
B047C001_250304_R5KF,B047C001_250304_R5KF.mov,B:\250327_EQ1_AM\CAM B\B047R5KF\,250327_EQ1_AM,FALSE,00:01:49:07,B:\250327_EQ1_AM\CAM B\B047R5KF\B047C001_250304_R5KF.mov,CUI,FALSE,FALSE,"[""Caractère invalide dans la colonne 'Name'."", ""Numéro d'épisode invalide dans 'Name'.""]",Numéro d'épisode invalide dans 'Name'.
B047C001_250304_R5KF,B047C001_250304_R5KF.mov,B:\250327_EQ1_AM\CAM B\B047R5KF\,250327_EQ1_AM,FALSE,00:01:49:07,B:\250327_EQ1_AM\CAM B\B047R5KF\B047C001_250304_R5KF.mov,CUI,FALSE,FALSE,"[""Caractère invalide dans la colonne 'Name'."", ""Numéro d'épisode invalide dans 'Name'.""]",Caractère invalide dans la colonne 'Name'.
B047C001_250304_R5KF,B047C001_250304_R5KF.mov,B:\250327_EQ1_AM\CAM B\B047R5KF\,250327_EQ1_AM,FALSE,00:01:49:07,B:\250327_EQ1_AM\CAM B\B047R5KF\B047C001_250304_R5KF.mov,CUI,FALSE,FALSE,"[""Caractère invalide dans la colonne 'Name'."", ""Numéro d'épisode invalide dans 'Name'.""]",Numéro d'épisode invalide dans 'Name'.
