Name,Source File,Source Path,Session,FORCE_PROCESS,Duration,Fullpath,ESTA_DECORNAME,INGEST_MANUEL,INGESTATOR,errors,error
NJ-0000-0-E0Odio-0,6-5-2T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\SON\25Y04M18\,000000_E0_AM,FALSE,00:00:50:00,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\SON\25Y04M18\6-5-2T03.wav,,FALSE,,[],
NJ-0000-0-E0Odio-1,6-5-2T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\SON\25Y04M18\,000000_E0_AM,FALSE,00:01:59:00,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\SON\25Y04M18\6-5-2T01.wav,,FALSE,,[],
NJ-0000-0-E0C1-0,B001C002_250418_R1CV.mov,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\CAM B\B001R1CV\,000000_E0_AM,FALSE,00:01:09:14,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\CAM B\B001R1CV\B001C002_250418_R1CV.mov,,TRUE,,[],
NJ-0000-0-E0C2-0,A001C002_250418_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\CAM A\A001R1D1\,000000_E0_AM,FALSE,00:01:07:05,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\CAM A\A001R1D1\A001C002_250418_R1D1.mov,,FALSE,,[],
NJ-0000-0-E0TEL-1,NJ_1A_6_3Z0H.mp4,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\TEL\,000000_E0_AM,FALSE,00:02:13:03,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\TEL\NJ_1A_6_3Z0H.mp4,,FALSE,TEL,[],
NJ-0000-0-E0TEL-0,NJ_1A_5_4A3W.mp4,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\TEL\,000000_E0_AM,FALSE,00:01:45:21,C:\Volumes\NJ_NATIFS-BACKUP\250418_EQ1_AM\TEL\NJ_1A_5_4A3W.mp4,,FALSE,TEL,[],
